,agg_y_rate,type,preds_dec,set,subject,model_name,dataset_name
168,15,4,0.9423459,test,2,early_integration,hard
169,15,5,0.9597561,test,2,early_integration,hard
170,16,1,0.9728665,test,2,early_integration,hard
171,16,2,0.957936,test,2,early_integration,hard
172,16,3,0.99214596,test,2,early_integration,hard
173,16,4,0.9961459,test,2,early_integration,hard
0,11,1,0.13911772,train,0,early_integration,very_hard
1,11,2,0.1351136,train,0,early_integration,very_hard
2,11,3,0.14325008,train,0,early_integration,very_hard
3,11,4,0.15153337,train,0,early_integration,very_hard
4,11,5,0.19412233,train,0,early_integration,very_hard
5,12,1,0.22000232,train,0,early_integration,very_hard
6,12,2,0.2317491,train,0,early_integration,very_hard
7,12,3,0.24736133,train,0,early_integration,very_hard
8,12,4,0.23556615,train,0,early_integration,very_hard
9,12,5,0.27495348,train,0,early_integration,very_hard
10,13,1,0.3664442,train,0,early_integration,very_hard
11,13,2,0.36196217,train,0,early_integration,very_hard
12,13,3,0.38855118,train,0,early_integration,very_hard
13,13,4,0.37368703,train,0,early_integration,very_hard
14,13,5,0.41037896,train,0,early_integration,very_hard
15,14,1,0.65653634,train,0,early_integration,very_hard
16,14,2,0.6548006,train,0,early_integration,very_hard
17,14,3,0.63278097,train,0,early_integration,very_hard
18,14,4,0.5782527,train,0,early_integration,very_hard
19,14,5,0.619638,train,0,early_integration,very_hard
20,15,1,0.78745246,train,0,early_integration,very_hard
21,15,2,0.74981475,train,0,early_integration,very_hard
22,15,3,0.74483895,train,0,early_integration,very_hard
23,15,4,0.7105053,train,0,early_integration,very_hard
24,15,5,0.75689083,train,0,early_integration,very_hard
25,16,1,0.8605732,train,0,early_integration,very_hard
26,16,2,0.851498,train,0,early_integration,very_hard
27,16,3,0.8380141,train,0,early_integration,very_hard
28,16,4,0.8058224,train,0,early_integration,very_hard
29,11,1,0.2653743,test,0,early_integration,very_hard
30,11,2,0.22370645,test,0,early_integration,very_hard
31,11,3,0.19305736,test,0,early_integration,very_hard
32,11,4,0.19023867,test,0,early_integration,very_hard
33,11,5,0.24365863,test,0,early_integration,very_hard
34,12,1,0.34150168,test,0,early_integration,very_hard
35,12,2,0.3285143,test,0,early_integration,very_hard
36,12,3,0.27034247,test,0,early_integration,very_hard
37,12,4,0.27171317,test,0,early_integration,very_hard
38,12,5,0.31516346,test,0,early_integration,very_hard
39,13,1,0.4424048,test,0,early_integration,very_hard
40,13,2,0.44021893,test,0,early_integration,very_hard
41,13,3,0.4004022,test,0,early_integration,very_hard
42,13,4,0.38642198,test,0,early_integration,very_hard
43,13,5,0.4357417,test,0,early_integration,very_hard
